언어명,관광지명,구분
영어권,Gyeongbokgung Palace (경복궁),역사관광지
영어권,Bukchon Hanok Village (북촌한옥마을),역사관광지
영어권,Namdaemun Market (남대문시장),쇼핑
영어권,Banpo Bridge Rainbow Fountain (반포대교 달빛무지개분수),건축/조형물
영어권,Gwangjang Market (광장시장),쇼핑
영어권,Starfield COEX Mall (스타필드 코엑스몰),쇼핑
영어권,Dongdaemun Design Plaza (동대문디자인플라자 (DDP)),산업관광지
영어권,Insa-dong (인사동),체험관광지
영어권,Namsan Seoul Tower (남산서울타워),건축/조형물
영어권,Itaewon Shopping Street (이태원 쇼핑거리),체험관광지
영어권,Changdeokgung Palace Complex [UNESCO World Heritage] (창덕궁과 후원 [유네스코 세계문화유산]),역사관광지
영어권,Goto Mall - Gangnam Terminal Underground Shopping Center (고투몰 (강남터미널 지하도상가)),쇼핑
영어권,Cheonggyecheon Stream (청계천),휴양관광지
영어권,Starfield Library (별마당도서관),문화시설
영어권,Seoul Bongeunsa Temple (봉은사 (서울)),역사관광지
영어권,Mangwon Market (망원시장),쇼핑
영어권,Hongdae (Hongik University Street) (홍대),체험관광지
영어권,HiKR Ground (하이커 그라운드),문화시설
영어권,Myeong-dong (명동),체험관광지
영어권,Seoul Jogyesa Temple (조계사(서울)),역사관광지
영어권,Namsangol Hanok Village (남산골한옥마을),역사관광지
영어권,Majang Meat Market (마장 축산물시장),쇼핑
영어권,Seoul Forest (서울숲),휴양관광지
영어권,Apgujeong Rodeo Street (압구정 로데오거리),체험관광지
영어권,Yeouido Hangang Park (여의도한강공원),휴양관광지
영어권,Jongno 3(sam)-ga Jewelry District (종로3가 귀금속 전문상가),쇼핑
영어권,Changgyeonggung Palace (창경궁),역사관광지
영어권,Itaewon Special Tourist Zone (이태원 관광특구),휴양관광지
영어권,CAPO FOOTBALL STORE [Korea Quality] / 카포 풋볼 스토어 [한국관광 품질인증],쇼핑
영어권,Shinsegae Department Store - Main Branch (신세계백화점 (본점)),쇼핑
영어권,Hangang River Ferry Cruise (이랜드크루즈 (한강유람선)),휴양관광지
영어권,"Leeum_ Samsung Museum of Art (삼성미술관 리움)",문화시설
영어권,Deoksugung Palace (덕수궁),역사관광지
영어권,Lotte Department Store - Main Branch (롯데백화점 (본점)),쇼핑
영어권,Lotte World (롯데월드),휴양관광지
영어권,Hangang River (한강),자연관광지
영어권,Hyundai I'PARK Mall (현대 아이파크몰),쇼핑
영어권,Tosokchon Samgyetang (토속촌삼계탕),음식점
영어권,Seoul Plaza Ice Skating Rink (서울광장 스케이트장),육상 레포츠
영어권,Children’s Grand Park (서울 어린이대공원),휴양관광지
영어권,Ssamzigil (쌈지길),체험관광지
영어권,Dongdaemun Shopping Complex·Dongdaemun Shopping Town (동대문 종합시장·동대문 쇼핑타운),쇼핑
영어권,The War Memorial of Korea (전쟁기념관),문화시설
영어권,Palace Royal Guard Changing Ceremony (수문장 교대의식),공연/행사
영어권,Dongdaemun History & Culture Park (동대문역사문화공원),휴양관광지
영어권,Lotte World Tower SEOUL SKY (롯데월드타워 서울스카이),건축/조형물
영어권,Gangnam (강남),체험관광지
영어권,Cheong Wa Dae (Blue House) (청와대),건축/조형물
영어권,Lotte Duty Free Shop - Main Branch (롯데면세점 (본점)),쇼핑
영어권,Lotte World Tower & Mall (롯데월드타워&롯데월드몰),건축/조형물
영어권,Samsung D’light (삼성 딜라이트),산업관광지
영어권,Seodaemun Prison History Museum (서대문형무소역사관),문화시설
영어권,Bukhansan National Park (Seoul District) (북한산국립공원(서울)),자연관광지
영어권,Lotte World Shopping Mall (롯데월드 쇼핑몰),쇼핑
영어권,Sinsa-dong Garosu-gil Road (신사동 가로수길),체험관광지
영어권,Burdeng Children's Clothing Shopping Center (부르뎅 아동복),쇼핑
영어권,Gwanghwamun Square (광화문광장),휴양관광지
영어권,Samcheong-dong Street (삼청동길),체험관광지
영어권,Sungnyemun Gate (숭례문),역사관광지
영어권,Banpo Hangang Park (반포한강공원),휴양관광지
영어권,Myeongdong Kyoja (명동교자),음식점
영어권,Deoksugung Palace Royal Guard Changing Ceremony (덕수궁 왕궁수문장교대의식),공연/행사
영어권,COEX Aquarium (코엑스 아쿠아리움),휴양관광지
영어권,National Museum of Korea (국립중앙박물관),문화시설
영어권,Ttukseom Hangang Park Sledding Hill (한강공원 뚝섬 눈썰매장),육상 레포츠
영어권,Blue Square (블루스퀘어),문화시설
영어권,Seochon Village (서촌마을),체험관광지
영어권,Olympic Park (올림픽공원),휴양관광지
