언어명,관광지명,구분
일본어,景福宮（경복궁）,역사관광지
일본어,北村韓屋村（북촌한옥마을）,역사관광지
일본어,青瓦台（청와대）,건축/조형물
일본어,広蔵市場（광장시장）,쇼핑
일본어,汝矣島漢江公園（여의도한강공원）,휴양관광지
일본어,盤浦大橋ムーンライト・レインボー噴水（반포대교 달빛무지개분수）,건축/조형물
일본어,ピョルマダン図書館（별마당도서관）,문화시설
일본어,東大門デザインプラザ（DDP）（동대문디자인플라자（DDP））,산업관광지
일본어,Leeum美術館（리움 미술관）,문화시설
일본어,盤浦漢江公園（반포한강공원）,휴양관광지
일본어,明洞（명동）,체험관광지
일본어,南大門市場（남대문시장）,쇼핑
일본어,狎鴎亭ロデオ通り（압구정 로데오 거리）,체험관광지
일본어,HiKR GROUND（하이커 그라운드）,문화시설
일본어,弘大（홍대）,체험관광지
일본어,徳寿宮（덕수궁）,역사관광지
일본어,光化門（광화문）,역사관광지
일본어,駱山公園（낙산공원）,휴양관광지
일본어,ロッテ百貨店（本店）롯데백화점（본점）,쇼핑
일본어,ソウルの森（서울숲）,휴양관광지
일본어,ロッテワールドタワー ソウルスカイ（롯데월드타워 서울스카이）,건축/조형물
일본어,明洞餃子（명동교자）,음식점
일본어,仁寺洞（인사동）,체험관광지
일본어,昌徳宮と後苑 [ユネスコ世界遺産（文化遺産）]（창덕궁과 후원 [유네스코 세계문화유산]）,역사관광지
일본어,新世界百貨店（本店）（신세계백화점（본점））,쇼핑
일본어,世宗大王銅像（세종대왕 동상）,건축/조형물
일본어,新沙洞カロスキル（신사동 가로수길）,체험관광지
일본어,漢江（한강）,자연관광지
일본어,スターフィールドcoex MALL（스타필드 코엑스몰）,쇼핑
일본어,明洞ソソカルビ（명동서서갈비）,음식점
일본어,GOTO MALL（江南高速ターミナル地下ショッピングモール）（고투몰（강남터미널 지하도상가））,쇼핑
일본어,マリオアウトレット（마리오 아울렛）,쇼핑
일본어,カポフットボールストア[韓国観光品質認証](카포 풋볼 스토어[한국관광품질인증/Korea Quality]),쇼핑
일본어,清渓川（청계천）,휴양관광지
일본어,梨泰院ショッピング通り（이태원 쇼핑거리）,체험관광지
일본어,ロッテワールドタワー＆ロッテワールドモール（롯데월드타워&롯데월드몰）,건축/조형물
일본어,南山ソウルタワー（남산서울타워）,건축/조형물
일본어,宗廟 [ユネスコ世界遺産（文化遺産）]（종묘 [유네스코 세계문화유산]）,역사관광지
일본어,サムギョプサル專門店 大統領（삼겹살전문점대통령）,음식점
일본어,国会議事堂（국회의사당）,건축/조형물
일본어,土俗村参鶏湯（토속촌 삼계탕）,음식점
일본어,ソウル東大門タッカンマリ通り（서울 동대문 닭한마리 골목）,체험관광지
일본어,東大門歴史文化公園（동대문역사문화공원）,휴양관광지
일본어,ロッテアウトレット ソウル駅店[韓国観光品質認証](롯데쇼핑 롯데아울렛 서울역[한국관광품질인증/Korea Quality]),쇼핑
일본어,奨忠体育館（장충체육관）,육상 레포츠
일본어,ソウル総合運動場（蚕室総合運動場）（서울종합운동장（잠실종합운동장））,육상 레포츠
일본어,ブルースクエア（블루스퀘어）,문화시설
일본어,ミリオレ（東大門店）（밀리오레（동대문점））,쇼핑
일본어,セビッソム（세빛섬（some sevit））,휴양관광지
일본어,忠武公 李舜臣銅像（충무공 이순신 동상）,건축/조형물
일본어,コリアハウス（한국의 집）,음식점
일본어,GEBANG SIKDANG（게방식당）,음식점
일본어,ロッテワールド（롯데월드）,휴양관광지
일본어,光化門広場（광화문광장）,휴양관광지
일본어,南山コル韓屋村（남산골한옥마을）,역사관광지
일본어,忠武アートセンター（충무아트센터）,문화시설
일본어,陳玉華ハルメ元祖タッカンマリ（진옥화할매원조닭한마리）,음식점
일본어,オリンピック公園（올림픽공원）,휴양관광지
일본어,西大門刑務所歴史館（서대문형무소역사관）,문화시설
일본어,モッミョッサンバン ( 목멱산방 ),음식점
일본어,イーランドクルーズ（漢江遊覧船）（이랜드크루즈（한강유람선））,휴양관광지
일본어,コリアハウス（한국의집）,문화시설
일본어,サムジキル（쌈지길）,체험관광지
일본어,昌慶宮（창경궁）,역사관광지
일본어,益善洞（익선동）,체험관광지
일본어,京東市場（경동시장）,쇼핑
일본어,明洞観光情報センター（명동관광정보센터）,체험관광지
일본어,黄金牧場 明洞聖堂 ( 황금목장 명동성당 ),음식점
일본어,徳寿宮王宮守門将交代儀式（덕수궁 왕궁수문장교대의식）,공연/행사
일본어,Coexアーティウム（코엑스아티움）,문화시설
일본어,徳寿宮石垣道（덕수궁 돌담길）,체험관광지
일본어,シャルロッテシアター（샤롯데씨어터）,문화시설
일본어,徳寿宮大漢門（덕수궁 대한문）,역사관광지
일본어,ノドゥル島（노들섬）,체험관광지
일본어,キッザニアソウル（키자니아 서울）,체험관광지
일본어,ハムチョカンジャンケジャン（함초간장게장）,음식점
일본어,崇礼門（숭례문）,역사관광지
일본어,北村八景（북촌 8경）,역사관광지
일본어,国立中央博物館（국립중앙박물관）,문화시설
일본어,曹渓寺（ソウル）（조계사（서울））,역사관광지
일본어,国立現代美術館 ソウル（국립현대미술관 서울）,문화시설
일본어,COEXアクアリウム（코엑스 아쿠아리움）,휴양관광지
일본어,東大門総合市場・ショッピングタウン（동대문 종합시장·동대문 쇼핑타운）,쇼핑
일본어,芸術の殿堂（예술의전당）,문화시설
일본어,現代アイパークモール（현대 아이파크몰）,쇼핑
일본어,西村マウル（서촌마을）,체험관광지
일본어,ソウル薬令市場（서울 약령시장）,쇼핑
일본어,パラダイスカジノ ウォーカーヒル（파라다이스 카지노 워커힐）,육상 레포츠
일본어,望遠市場（망원시장）,쇼핑
일본어,独立門（독립문）,역사관광지
일본어,世宗ホテル（세종호텔）,숙박시설
일본어,ソウルオリニ大公園（서울어린이대공원）,휴양관광지
일본어,アグランコッケラン（아구랑꽃게랑）,음식점
일본어,益善洞（익선동）,체험관광지
일본어,鐘路3街貴金属専門商店街（종로3가 귀금속 전문상가）,쇼핑
일본어,ソウルワールドカップ競技場（서울월드컵경기장）,육상 레포츠
일본어,ロッテ免税店（本店）（롯데면세점（본점））,쇼핑
일본어,TIMES SQUARE（타임스퀘어）,쇼핑
일본어,世宗文化会館（세종문화회관）,문화시설
일본어,ソウル植物園（서울식물원）,자연관광지
