rest,category,score,count,latitude,longitude,post
할머니의 레시피 서울숲,한식,4.1,62,37.5461687,127.0430745,서울 성동구 서울숲2길 44-12
아이노가든키친 광화문,한식,4.5,28,37.5728324,126.9712704,서울 종로구 경희궁2길 10
도마 인사동,한식,4.4,66,37.5738126,126.9858347,서울 종로구 인사동8길 6-1
별미볶음점 여의도,한식,4.5,38,37.5207952,126.9269308,서울 영등포구 국제금융로6길 33
녹원쌈밥 연희동,한식,4.3,26,37.5725288,126.9341598,서울 서대문구 연희로25길 22
콩예원 광장동,한식,4.4,9,37.5513917,127.1109127,서울 광진구 아차산로78길 75
한일관 압구정점,한식,4.1,16,37.5277264,127.0325448,서울 강남구 압구정로38길 14
예향정 노원역,한식,4.4,22,37.6531712,127.0586467,서울 노원구 동일로217가길 31
경복식당 공릉,한식,4.7,17,37.6237674,127.0787121,서울 노원구 공릉로39길 10
무월식탁 강남역,한식,3.7,59,37.5025759,127.0273296,서울 강남구 강남대로102길 23
호족반 도산공원점,한식,4.3,48,37.5254483,127.036756,서울 강남구 언주로164길 39
파르크 한남동,한식,3.9,24,37.5374926,126.9997329,서울 용산구 유엔빌리지길 80-36
고향집 강남구청역,한식,4.6,12,37.5169182,127.0370356,서울 강남구 언주로134길 17
시래기담은 삼청동,한식,4.8,5,37.5815898,126.9809917,서울 종로구 삼청로 65-2
24시 서울밥집 신림,한식,4.6,25,37.4832313,126.9275481,서울 관악구 관천로 36-1
황소고집 종각역,한식,3.9,44,37.5685537,126.986088,서울 종로구 청계천로 75-1
일미식당 낙원상가,한식,4.0,27,37.57283,126.9876939,서울 종로구 삼일대로 428
하얀고래 종각본점,한식,4.5,12,37.5704878,126.9847263,
난포 한남동,한식,4.2,41,37.5371307,126.9995239,서울 용산구 이태원로49길 18
무월식탁 파미에스테이션점,한식,3.6,39,37.5033487,127.0052395,서울 서초구 사평대로 205
맛이차이나 상수,중식,4.4,53,37.5476115,126.9208635,서울 마포구 독막로 68
진진 합정,중식,4.1,39,37.5537804,126.918479,서울 마포구 월드컵로5길 33-16
대가방 본점,중식,4.4,50,37.5107214,127.0429539,서울 강남구 봉은사로 333
차알 여의도 IFC몰점,중식,4.4,44,37.5248506,126.9255781,서울 영등포구 국제금융로 10
연교 연남동,중식,4.5,83,37.5615994,126.9267309,서울 마포구 연희로1길 65
월래순 교자관 가리봉,중식,4.2,70,37.4802835,126.8898292,서울 구로구 디지털로19길 13
홍명 학동역,중식,4.4,34,37.514514,127.0295105,서울 강남구 논현로131길 10
매란방 왕십리,중식,4.1,39,37.5615131,127.0384279,서울 성동구 왕십리광장로 17
오향가 가락동,중식,4.3,43,37.496729,127.121373,서울 송파구 송이로 106
고량주관 종각역,중식,4.8,13,37.5686396,126.9862356,
월량관 연남동,중식,4.4,23,37.5625777,126.9253276,서울 마포구 동교로46길 10
야상해 이태원,중식,4.5,65,37.534789,126.9927928,서울 용산구 이태원로23길 6
송죽장 영등포,중식,3.7,110,37.5182544,126.9047155,서울 영등포구 문래로 203
중화복춘 홍대,중식,4.3,23,37.5595498,126.9242399,서울 마포구 월드컵북로6길 42
원흥 을지로입구역,중식,4.0,26,37.5678937,126.9819007,
안동반점 보문역,중식,4.3,21,37.5870736,127.0190333,서울 성북구 고려대로1길 35-1
마담밍 선릉역,중식,4.2,31,37.5035179,127.0502732,서울 강남구 선릉로86길 5-4
영화장 외대,중식,4.0,35,37.5965687,127.0609498,서울 동대문구 휘경로 3-8
중화백반 교대점,중식,4.5,10,37.4922456,127.0151914,서울 서초구 서초중앙로20길 18
홍릉각 청량리,중식,4.0,21,37.582893,127.039987,서울 동대문구 약령시로 90
진작 을지로3가,일식,4.4,75,37.56403,126.9908216,서울 중구 수표로12길 12
이이요 군자역,일식,4.3,47,37.5552102,127.0789289,서울 광진구 능동로32길 6
장정 정 선릉,일식,4.2,46,37.502822,127.0512635,서울 강남구 선릉로82길 15
시오 연희동,일식,4.2,56,37.5672105,126.9286886,인천 서구 서곶로 489
가마메시야 울림 마곡,일식,4.7,19,37.5603074,126.8274198,서울 강서구 마곡중앙로 76
도우또 을지로3가,일식,4.7,15,37.5647071,126.9940415,서울 중구 을지로18길 42
스즈란테이 이촌,일식,4.2,36,37.5199701,126.9743452,서울 용산구 이촌로 245
시카노이에 광화문,일식,4.4,24,37.5725079,126.9692608,서울 종로구 경희궁1길 32
동경산책 송리단길점,일식,4.2,33,37.5096068,127.1097314,서울 송파구 백제고분로45길 15
스시소라 광화문,일식,4.6,32,37.571031,126.9799653,서울 종로구 종로 19
호호식당 대학로,일식,4.0,88,37.5818886,127.0000654,서울 종로구 대학로9길 35
아루히 여의도,일식,5.0,15,37.5214725,126.9249813,서울 영등포구 여의나루로 42
미우야 양재,일식,4.5,24,37.474006,127.03541,서울 서초구 강남대로23길 90
스시 조 조선호텔,일식,4.4,17,37.5646249,126.9805282,서울 중구 소공로 106
온미동 여의도,일식,4.7,19,37.5238397,126.9261044,서울 영등포구 여의나루로 67-8
기요한 서교동,일식,4.6,33,37.5541206,126.9123648,서울 마포구 동교로12길 3
초이다이닝 연남동,일식,4.2,36,37.5612678,126.9245652,서울 마포구 동교로36길 3
김태완스시 송파본점,일식,4.5,26,37.5104887,127.1112242,서울 송파구 오금로 148
하카타나카 홍대,일식,4.2,31,37.555045,126.9236732,서울 마포구 와우산로23길 50
롤인익선 익선동,일식,4.6,32,37.5743393,126.9897678,서울 종로구 삼일대로30길 37
스미스가좋아하는한옥 삼청동,양식,4.3,32,37.5779378,126.9801792,서울 종로구 삼청로 22-7
먼치 용리단길,양식,4.4,25,37.5299252,126.9698805,
온량 성수,양식,4.5,37,37.5469442,127.0434205,서울 성동구 서울숲4길 26-10
심퍼티쿠시 서울역점,양식,4.8,17,37.5578385,126.9744151,서울 중구 세종대로 14
리에또 사당역,양식,4.4,27,37.4790223,126.983411,서울 서초구 방배천로4안길 20
심퍼티쿠시 용산점,양식,4.6,18,37.5321352,126.9721419,서울 용산구 한강대로52길 17-3
로니로티 건대,양식,3.9,63,37.5409583,127.0684707,서울 광진구 아차산로 225
투파인드피터 노원점,양식,4.2,31,37.6575116,127.0617088,서울 노원구 상계로1길 34
온다 가로수길,양식,4.5,12,37.5190346,127.022179,경남 창원시 성산구 동산로65번길 15
바비레드 강남본점,양식,3.8,73,37.5026625,127.0278787,서울 강남구 봉은사로6길 39
이층양옥 익선동,양식,4.1,22,37.5739601,126.9904165,서울 종로구 돈화문로11나길 28
파델라 연남동,양식,4.7,16,37.5606916,126.9223945,서울 마포구 연남로1길 11
오스테리아 오르조 한남동,양식,4.4,36,37.5349161,127.0095281,서울 용산구 한남대로20길 47
두오모 서촌,양식,4.7,17,37.5816121,126.9715675,서울 종로구 자하문로16길 5
가든 포에트 홍대,양식,4.5,25,37.5502111,126.9237118,서울 마포구 와우산로14길 12
페어링룸 청담,양식,4.1,25,37.5254116,127.0478303,서울 강남구 도산대로81길 14
그리노 성수동,양식,4.6,19,37.5479541,127.0576203,서울 성동구 성수이로 147
슬로우파크 삼청동,양식,4.7,13,37.5879212,126.9814919,서울 종로구 삼청로 141
연남토마 연남점,양식,4.3,38,37.5595232,126.9214704,서울 마포구 월드컵북로6길 61
연남토마 북촌점,양식,4.4,32,37.5793518,126.9827234,서울 종로구 북촌로5길 39
원 디그리 노스 강남구청역,아시안,4.6,17,37.5167856,127.0374458,서울 강남구 학동로43길 8
